Time,LABORATORIO_ZONE::Des Heat Load [W],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LABORATORIO_ZONE::Des Heat Mass Flow [kg/s],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Heat Load [W],LABORATORIO_ZONE::Des Latent Cool Load [W],LABORATORIO_ZONE::Des Latent Heat Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Heat Load No DOAS [W],LABORATORIO_ZONE::Des Sens Cool Load No DOAS [W],LABORATORIO_ZONE::Des Latent Heat Load No DOAS [W],LABORATORIO_ZONE::Des Latent Cool Load No DOAS [W],LABORATORIO_ZONE::Heating Zone Temperature [C],LABORATORIO_ZONE::Heating Zone Relative Humidity [%],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
06:40:00,0.000000E+00,1.652224E+03,0.000000E+00,1.472167E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398595E+01,7.849751E+01
06:50:00,0.000000E+00,1.657375E+03,0.000000E+00,1.476763E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398589E+01,7.845273E+01
07:00:00,0.000000E+00,1.665459E+03,0.000000E+00,1.483975E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398582E+01,7.837515E+01
07:10:00,0.000000E+00,1.677523E+03,0.000000E+00,1.494733E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398575E+01,7.826348E+01
07:20:00,0.000000E+00,1.693915E+03,0.000000E+00,1.509349E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398562E+01,7.809603E+01
07:30:00,0.000000E+00,1.714742E+03,0.000000E+00,1.527920E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398549E+01,7.786456E+01
07:40:00,0.000000E+00,1.740306E+03,0.000000E+00,1.550713E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398536E+01,7.757297E+01
07:50:00,0.000000E+00,1.770785E+03,0.000000E+00,1.577887E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398525E+01,7.722935E+01
08:00:00,0.000000E+00,1.806604E+03,0.000000E+00,1.609821E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398514E+01,7.684118E+01
08:10:00,0.000000E+00,1.846448E+03,0.000000E+00,1.645344E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398502E+01,7.640981E+01
